Go to Documentation,key,,,,,,,,,,,
Language in English,,English,Simplified Chinese,Japanese,Korean,French,German,Spanish,Dutch,Amharic,Traditional Chinese,Filipino
Language in Language,,English,简体中文,日本語,한국인,Français,Deutsch,Español,Nederlands,አማርኛ,繁體中文,Tagalog
Language code,,en,zh-CN,ja,ko,fr,de,es,nl,am,zh-TW,tl
Development Status,,done,beta,beta,,beta,wip,,wip,,beta,beta
,action-topics.designspace-navigation,Designspace Navigation,Designspace 导航,Designspaceナビゲーション,,Navigation du Designspace,-,Navegación en Designspace,Designspace Navigatie,,Designspace 導覽,Nabigasyon sa Designspace
,action-topics.export-as,Export as,导出为…,出力…,,Exporter sous,Exportieren als,Exportar como,Exporteer als,,匯出為…,I-export bilang
,action-topics.glyph-editor-appearance,Glyph editor appearance,字形编辑器外观,グリフエディター表示,,Glyphe édition apparence,Glyph Editor Ansicht,Apariencia del editor de Glifo,Glyph editor uiterlijk,,字形編輯器外觀,Hitsura ng editor ng Glyph
,action-topics.menu.edit,Edit,编辑,編集,,Édition,Bearbeiten,Editar,Wijzig,,編輯,I-edit
,action-topics.menu.file,File,文件,ファイル,,Fichier,Datei,,Archief,,檔案,File
,action-topics.menu.glyph,Glyph,字形,グリフ,,Glyphe,-,Glifo,,,字形,Glyph
,action-topics.menu.view,View,视图,表示,,Affichage,Ansicht,Ver,Weergave,,檢視,Tingnan
duplicate,action-topics.reference-font,Reference font,参考字体,リファレンスフォント,,Fonte de référence,Referenz-Font,Referenciar Fuente,Referentiefont,,參考字型,Font ng sanggunian
,action-topics.selection-transformations,Selection Transformations,变形工具,変形,,Transformation de la sélection,Selektion transformieren,,Selectie transformaties ,,變形工具,Mga Pagbabago sa Pagpili
,action-topics.sidebars,Sidebars,侧栏,サイドバー,,Barres latérales,Seitenleisten,,Zijbalken,,側邊欄,Mga Sidebar
,action-topics.tools,Tools,工具,ツール,,Outils,Werkzeuge,Herramientas,Gereedschappen,,工具,Mga Kagamitan
,action.add-anchor,Add Anchor,添加锚点,アンカーを追加,,Ajouter une ancre,Anker hinzufügen,Añadir Ancla,Voeg anker toe,,新增錨點,Magdagdag ng Angkla
,action.add-component,Add Component,添加部件,コンポーネントを追加,,Ajouter un composant,Komponente hinzufügen,Añadir Componente,Voeg component toe,,新增部件,Magdagdag ng Bahagi
,action.add-guideline,Add Guideline,添加参考线,ガイドラインを追加,,Ajouter un guide,Hilfslinie hinzufügen,Añadir Guía,Voeg hulplijn toe,,新增參考線,Magdagdag ng Gabay
,action.add-guideline-between-points,Add Guideline Between Points,在两点间添加参考线,,,,,Añadir Guía Entre Puntos,,,在兩點間新增參考線,Magdagdag ng Gabay sa Pagitan ng mga Puntos
,action.break-contour,Break Contour,断开轮廓,パスを切り離す,,Ouvrir le contour,Kontur öffnen,Abrir Contorno,Breek contour,,斷開輪廓,Hugis ng Paghihiwalay
,action.break-contour.plural,Break Contours,断开轮廓,パスを切り離す,,Ouvrir les contours,Konturen öffnen,Abrir Contornos,,,斷開輪廓,Mga Contour ng Break
,action.close-contour,Close %0 Contour,闭合轮廓,%0パスを閉じる,,Fermer %0 contour,%0 Kontur schließen,Cerrar %0 Contorno,Sluit %0 contour,,閉合輪廓,Isara ang %0 Contour
,action.close-contour.plural,Close %0 Contours,闭合 %0 个轮廓,%0パスを閉じる,,Fermer %0 contours,%0 Konturen schließen,Cerrar %0 Contornos,Sluit %0 contouren,,閉合 %0 個輪廓,Isara ang %0 na mga Contour
,action.copy,Copy,复制,コピー,,Copier,Kopieren,Copiar,Kopiëer,,複製,Kopyahin
,action.cut,Cut,剪切,カット,,Couper,Ausschneiden,Cortar,Snij,,剪下,Gupitin
,action.decompose-component,Decompose %0 Component,释放部件,%0 を分解,,Décomposer %0 composant,%0 Komponente auflösen,Descomponer %0 componente ,%0 component ontleden,,釋放部件,I-decompose ang %0 na Bahagi
,action.decompose-component.plural,Decompose %0 Components,释放 %0 个部件,%0 を分解,,Décomposer %0 composants,%0 Komponenten auflösen,Descomponer %0 componentes ,%0 componenten ontleden,,釋放 %0 個部件,Buwagin ang %0 na mga Bahagi
,action.delete,Delete,删除,削除,,Supprimer,Enfernen,Borrar,Verwijder,,刪除,Burahin
,action.delete-glyph,Delete Glyph,删除字形,グリフを削除,,Supprimer le glyphe,Glyph entfernen,Borrar Glifo,Verwijder glyph,,刪除字形,Burahin ang Glyph
,action.delete-selection,Delete Selection,删除选中,選択範囲を削除,,Supprimer la sélection,Auswahl entfernen,Borrar Selección,Verwijder selectie,,刪除選取,Burahin ang Pinili
,action.edit-anchor,Edit Anchor,编辑锚点,アンカーを編集,,Éditer l'ancre,Anker bearbeiten,Editar Ancla,,,編輯錨點,I-edit ang Anchor
WIP,action.edit-background-image,Edit Background Image,编辑背景图片,背景画像を編集,,Éditer l'image d'arrière plan,Hintergrund-Bild bearbeiten,Editar Imagen de Fondo,,,編輯背景圖片,I-edit ang Larawan sa Background
,action.edit-guideline,Edit Guideline,编辑参考线,ガイドラインを編集,,Éditer le guide,Hilfslinie bearbeiten,Editar Guía,,,編輯參考線,I-edit ang Gabay
,action.export-as.designspace,Designspace + UFO (*.designspace),-,-,-,-,-,-,-,,-,-
,action.export-as.fontra,Fontra (*.fontra),-,-,-,-,-,-,-,,-,-
,action.export-as.glyphs,Glyphs (*.glyphs),-,-,-,-,-,-,-,,-,-
,action.export-as.otf,OpenType (*.otf),-,-,-,-,-,-,-,,-,-
,action.export-as.rcjk,RCJK (*.rcjk),-,-,-,-,-,-,-,,-,-
,action.export-as.ttf,TrueType (*.ttf),-,-,-,-,-,-,-,,-,-
,action.export-as.ufo,UFO (*.ufo),-,-,-,-,-,-,-,,-,-
,action.export-as.woff2,Webfont (*.woff2),-,-,-,-,-,-,-,,-,-
,action.glyph.add-background-image,Add background image...,添加背景图片…,背景画像を追加…,,Ajouter une image d'arrière plan,Hintergrundbild hinzufügen,Añadir imagen de fondo...,,,新增背景圖片…,Magdagdag ng larawan sa background...
,action.glyph.add-source,Add source...,添加源…,ソースを追加…,,Ajouter une source…,Source hinzufügen...,Añadir source...,Voeg source toe...,,新增源…,Magdagdag ng pinagmulan...
,action.glyph.delete-source,Delete source...,删除源…,ソースを削除…,,Supprimer la source…,Source entfernen...,Eliminar source...,Verwijder source...,,刪除源…,Burahin ang pinagmulan...
,action.glyph.edit-glyph-axes,Edit glyph axes...,编辑字形参数轴…,グリフの補完軸を編集…,,Éditer les axes du glyphe…,Glyph-Achse bearbeiten...,Editar eje de glifo...,Wijzig glyph assen...,,編輯字形參數軸…,I-edit ang mga gliph ax...
,action.join-contours,Join Contours,合并轮廓,パスを連結,,Joindre les contours,Konturen verbinden,Unir Contornos,Verbind contouren,,合併輪廓,Sumali sa Mga Contour
,action.lock-background-images,Lock Background Images,锁定背景图片,背景画像をロック,,Vérouiller les images d'arrière plan,Hintergrundbild sperren,Bloquear Imágenes de Fondo,,,鎖定背景圖片,I-lock ang mga Larawan sa Background
,action.lock-guideline,Lock Guideline,锁定参考线,ガイドラインをロック,,Vérouiller le guide,Hilfslinie sperren,Bloquear,,,鎖定參考線,Gabay sa Pag-lock
,action.lock-guideline.plural,Lock Guidelines,锁定参考线,ガイドラインをロック,,Vérouiller les guides,Hilfslinien sperren,Bloquear Guías,Vergrendel hulplijnen,,鎖定參考線,Mga Alituntunin sa Pag-lock
,action.nudge-selection,nudge selection,微移,選択範囲のキー移動,,décallage de la séléction,Stups-Auswahl,Desplazar selección,,,微調,pagpili ng siko
,action.paste,Paste,粘贴,ペースト,,Coller,Einfügen,Pegar,Plak,,貼上,I-paste
,action.redo,Redo,重做,やり直す,,Revenir,Wiederholen,Revertir,Opnieuw,,重做,Gawing muli
,action.reverse-contour,Reverse Contour Direction,反转轮廓方向,パスの方向を逆転,,Inverser la direction du contour,Kontur-Richtung umkehren,Invertir Dirección del Contorno,Keer contour richting om,,反轉輪廓方向,Baliktarin na Direksyon ng Kontur
,action.select-all,Select All,全选,全てを選択,,Tout sélectionner,Alle auswählen,Seleccionar Todo,Selecteer alles,,全選,Piliin Lahat
,action.select-none,Select None,取消选择,選択を取り消す,,Désélectionner,Auswahl aufheben,,Selecteer niets,,取消選取,Pumili ng Wala
,action.set-contour-start,Set Start Point,设置起点,開始点に設定,,Définir comme point de départ,Startpunkt setzen,Convertir en Primer Nodo,Maak startpunt,,設定起點,Itakda ang Simulang Punto
,action.undo,Undo,撤销,取り消す,,Annuler,Widerrufen,Deshacer,Herstel,,復原,I-undo
,action.unlock-background-images,Unlock Background Images,解锁背景图片,背景画像のロックを解除,,Dévérouiller les images d'arrière plan,Hintergrundbild entsperren,Desbloquear Imagen de Fondo,,,解鎖背景圖片,I-unlock ang mga Larawan sa Background
,action.unlock-guideline,Unlock Guideline,解锁参考线,ガイドラインのロックを解除,,Dévérouiller le guide,Hilfslinie entsperren,Desbloquear Guía,,,解鎖參考線,Gabay sa Pag-unlock
,action.unlock-guideline.plural,Unlock Guidelines,解锁参考线,ガイドラインのロックを解除,,Dévérouiller les guides,Hilfslinien entsperren,Desbloquear Guías,,,解鎖參考線,Mga Alituntunin sa Pag-unlock
,anchor.labels.name,Name,名称,名前,,Nom,-,Nombre,,,名稱,Pangalan
,application-settings.clipboard.title,Clipboard,剪贴板导出格式,クリップボード,,Presse-papier,Zwischenablage,Portapapeles,Klembord,,剪貼簿,Clipboard
,application-settings.display-language.status.beta,beta,试用版,ベータ版,,-,Beta,Beta,beta,,搶鮮版,beta
,application-settings.display-language.status.wip,work in progress,开发中,作業中,,travail en cours,In Arbeit,trabajo en progreso,in ontwikkeling,,開發中,trabahong isinasagawa
Untranslated!,application-settings.display-language.title,Display Language,-,-,,-,-,-,-,,-,-
"Currently unused, but good to have",application-settings.display-language.title.translated,Display Language,显示语言,表示言語,,Langue utilisée,Anzeigesprache,Mostrar Lenguaje,Weergavetaal,,顯示語言,Wika ng Pagpapakita
,application-settings.editor-behavior.title,Editor Behavior,编辑器行为,エディターの挙動,,Comportement de l'éditeur,Editor-Verhalten,Comportamiento del Editor,Editor gedrag,,編輯器行為,Pag-uugali ng Editor
,application-settings.plugins-manager.title,Plugin Manager,插件管理器,プラグインマネージャー,,Gestionnaire de plugins,-,-,-,,擴充功能管理器,Tagapamahala ng Plugin
,application-settings.server-info.title,Server info,服务器信息,サーバー情報,,Information du serveur,Server Info,Información del Servidor,-,,伺服器資訊,Impormasyon ng server
,application-settings.shortcuts.title,Shortcuts,快捷键,キーボードショートカット,,Racourcis clavier,Tastaturkurzbefehle,Atajos,Snelkoppelingen,,快速鍵,Mga Shortcut
,application-settings.theme-settings.title,Theme settings,主题设置,テーマ設定,,Paramètres des thèmes,Design-Einstellungen,Ajustes del Tema,Thema-instellingen,,主題設定,Mga setting ng tema
,axes.add,Add new axis,添加新参数轴,新しい補完軸を追加,,Ajouter un nouvel axe,Neue Achse hinzufügen,Añadir nuevo eje,Voeg nieuwe as toe,,加入新參數軸,Magdagdag ng bagong aksis
